Codigo de Compartimento;Disponible para asesoramiento con cobro implícito;Disponible para asesoramiento con cobro explícito;Focus List;ISIN;Código de compartimento;Nombre;Divisa;Hedge;Categoria SB;Categoría Morningstar;Politica de dividendos;Traspasable;Benchmark;Mínimo Inicial;Tipo Suscripción Inicial;Mínimo Adicional;Tipo Suscripción Adicional;Gastos Corrientes;Comisión Gestión;Comisión Exito;Comisión Suscripción;Comisión Reembolso;Comisión Deposito;Comisión Distribución;Rebate PB;Producto Complejo;Fecha de constitución;Patrimonio;Rent 1M;Rent YTD;Rent 12M;Rent 36M;Rent 60M;Rent 2022;Rent 2023;Rent 2024;Hora Corte *Folleto;Gestora / Emisor;URL Ficha Comercial ;URL KID PRIIPS;REQ;Concentración Actualizada a feb/2023
;Y;N;N;LU1859445816;72998;BNP Paribas Easy MSCI USA SRI S-Series 5% Capped Track Privilege H EUR Capitalisation;EUR;Y;Renta Variable EE.UU;RV Otros;C;Y;MSCI USA SRI S-S 5% Cap NR USD;100000;EUR;0;EUR;0.25;0.13;;;;;;7.15;N;9/25/18;940,639,852 €;-5.64;-3.11;2.19;1.63;15.47;-24.2;19.8;8.53;1000;BNP Paribas Asset Management Luxembourg;;https://api.fundinfo.com/document/b4bb32f9c9a5a8435e147f9b8ece855f_140100/PRP_ES_es_LU1859445816_YES_2024-11-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;80;10
;Y;N;N;LU1291108485;72990;BNP Paribas Easy MSCI World SRI S-Series 5% Capped Track Privilege Capitalisation;USD;N;Renta Variable Global;RV Global Cap. Grande Blend;C;Y;MSCI World SRI S-S 5% Cap NR USD;100000;USD;0;USD;0.21;0.08;;;;;;4.4;N;2/26/16;1,448,467,798 €;-8.17;-5.59;4.63;4.23;16.24;-15.54;14.8;16.28;1000;BNP Paribas Asset Management Luxembourg;;https://api.fundinfo.com/document/3208beeb984e3e4db89101726ed9fe64_139269/PRP_ES_es_LU1291108485_YES_2024-11-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;Y;N;N;LU2314316089;72990;BNP Paribas Easy MSCI World SRI S-Series 5% Capped Track Privilege EUR Capitalisation;EUR;N;Renta Variable Global;RV Global Cap. Grande Blend;C;Y;MSCI World SRI S-S 5% Cap NR USD;100000;EUR;0;EUR;0.2;0.08;;;;;;4.4;N;7/21/23;1,448,467,798 €;-8.17;-5.59;4.63;-;-;-;-;16.28;1000;BNP Paribas Asset Management Luxembourg;;https://api.fundinfo.com/document/76f406eb97b770e0a3b714d2eddd1ec1_147634/PRP_ES_es_LU2314316089_YES_2024-11-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;N;N;LU1291108998;72990;BNP Paribas Easy MSCI World SRI S-Series 5% Capped Track Privilege H EUR Capitalisation;EUR;Y;Renta Variable Global;RV Otros;C;Y;MSCI World SRI S-S 5% Cap NR USD;100000;EUR;0;EUR;0.26;0.08;;;;;;4.4;N;2/26/16;1,448,467,798 €;-4.84;-1.82;4.36;3.16;15.22;-20.22;16.18;10.75;1000;BNP Paribas Asset Management Luxembourg;;https://api.fundinfo.com/document/8919ab226cb0312af4a10267322ac949_139766/PRP_ES_es_LU1291108998_YES_2024-11-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;80;10
;Y;N;N;LU0461106337;72605;Cleome Index Europe Equities C EUR Acc;EUR;N;Renta Variable Europa;RV Europa Cap. Grande Blend;C;Y;MSCI Europe NR USD;0;EUR;0;;1.01;0.8;;;;;;44;N;11/6/09;1,547,448,622 €;-1.18;8.94;10.36;8.32;16.24;-11.01;15.35;6.56;1000;Candriam;https://api.fundinfo.com/document/c24820e018c2b5fb6f15bcd494493c30_973400/MR_ES_en_LU0461106337_RES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/ce442a01cf71242c668848371025ec58_266476/PRP_ES_es_LU0461106337_YES_2025-02-28.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;N;Y;N;LU1006087669;72605;Cleome Index Europe Equities R EUR Acc;EUR;N;Renta Variable Europa;RV Europa Cap. Grande Blend;C;Y;MSCI Europe NR USD;0;EUR;0;;0.41;0.3;;;;0.02;;0;N;11/13/14;1,547,448,622 €;-1.14;9.08;11.02;9.03;17.07;-10.3;16.05;7.21;1000;Candriam;;https://api.fundinfo.com/document/cd7a8f7ebb336404cfbc6e5f02b8876c_266480/PRP_ES_es_LU1006087669_YES_2025-02-28.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;N;N;LU0461105529;72073;Cleome Index USA Equities C EUR Acc;EUR;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;MSCI USA NR USD;0;EUR;0;;1.02;0.8;;;;;;44;N;1/20/10;2,994,855,312 €;-12.7;-10.22;7.82;7.98;18.42;-15.76;21.11;31.29;1000;Candriam;;https://api.fundinfo.com/document/5a69c8a363aa4d3b7fabfa2703745c17_266787/PRP_ES_es_LU0461105529_YES_2025-02-28.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;N;N;LU1006087313;72073;Cleome Index USA Equities C USD Acc;USD;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;MSCI USA NR USD;0;USD;0;;1.02;0.8;;;;;;44;N;6/25/14;2,994,855,312 €;-12.7;-10.22;7.82;7.98;18.42;-15.75;21.11;31.29;1000;Candriam;https://api.fundinfo.com/document/3b4629b054ac5ebaab71e57f112819bb_1033847/MR_ES_en_LU1006087313_RES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/74434796f99c05407d8a2c3726dcacd1_266391/PRP_ES_es_LU1006087313_YES_2025-02-28.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;N;Y;N;LU1006087586;72073;Cleome Index USA Equities R EUR Acc;EUR;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;MSCI USA NR USD;0;EUR;0;;0.41;0.3;;;;0.02;;0;N;11/13/14;2,994,855,312 €;-12.66;-10.11;8.47;8.68;19.27;-15.09;21.84;32.09;1000;Candriam;;https://api.fundinfo.com/document/a6dff0ad1e08140cb73f1875f197c641_266789/PRP_ES_es_LU1006087586_YES_2025-02-28.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;Y;N;LU1292955033;72134;Cleome Index World Equities R EUR Acc;EUR;N;Renta Variable Global;RV Global Cap. Grande Blend;C;Y;MSCI World NR EUR;0;;0;;0.41;0.3;;;;;;0;N;6/4/20;181,425,084 €;-10.11;-6.48;8.48;8.38;-;-13.11;19.24;26.04;1000;Candriam;;https://api.fundinfo.com/document/d8736cd5e2da73e643e8a6923ec9999d_266824/PRP_ES_es_LU1292955033_YES_2025-02-28.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;Y;N;LU1479966167;70852;Credit Suisse Index Fund (Lux) - CSIF (Lux) Bond Aggregate EUR FB EUR;EUR;N;Renta Fija Diversificada Global;RF Diversificada EUR;C;N;Bloomberg Euro Agg Bond TR EUR;0;EUR;0;EUR;0.2;0.15;;;;;;0;N;9/29/16;1,050,872,185 €;-1;-1.2;2.2;-2.15;-1.6;-17.28;6.99;2.37;1200;UBS Asset Management Europe S A;https://api.fundinfo.com/document/62d802d7769fb2cf700b90b2447e4d9a_84954/MR_ES_es_LU1479966167_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/e7b645a47efa683ce2910899a948cba2_98491/PRP_ES_es_LU1479966167_YES_2024-12-04.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;15;10
;Y;Y;N;LU1419771487;70551;Credit Suisse Index Fund (Lux) - CSIF (Lux) Equity Canada FB EUR;EUR;N;Renta Variable País;RV Canadá;C;N;MSCI Canada NR CAD;0;EUR;0;EUR;0.3;0.13;;;;;;0;N;1/30/17;58,959,855 €;-7.07;-2.9;11.37;4.14;18.46;-7.21;11.5;19.25;1200;UBS Asset Management Europe S A;https://api.fundinfo.com/document/cf998447600fc48d991f9a9d67822ee8_80694/MR_ES_es_LU1419771487_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/9b71d1a544fcf9378a9bbc2568327dc8_98455/PRP_ES_es_LU1419771487_YES_2024-12-05.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;Y;N;N;BE6278394695;60883;DPAM B - Equities Japan Index B Cap;EUR;N;Renta Variable Japón;RV Japón Cap. Grande;C;Y;MSCI Japan NR EUR;1;SHARES;0;EUR;0.72;0.5;;;;0.02;0.35;25;N;10/3/96;93,115,905 €;-3.19;-1.11;1.93;6.85;11.21;-11.77;15.33;14.72;1200;Degroof Petercam Asset Management SA;https://api.fundinfo.com/document/2531658fd2b0bc228e95dc18ecea5fda_350212/MR_ES_es_BE6278394695_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/dd5269ffb3f1840ea57a8128b47e0e73_199352/PRP_ES_es_BE6278394695_YES_2024-03-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;Y;N;N;BE6278404791;54443;DPAM B - Equities US Index B EUR Cap;EUR;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;MSCI USA NR USD;1;SHARES;0;EUR;0.67;0.5;;;;0.02;0.35;25;N;3/28/96;335,552,360 €;-12.65;-9.73;8.83;8.88;19.31;-14.96;21.63;32.34;1200;Degroof Petercam Asset Management SA;https://api.fundinfo.com/document/6bc6a11d74b98698bfd06508e2e2da82_349111/MR_ES_es_BE6278404791_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/333ab77b0c888f4b1031c1abc43c11a8_199505/PRP_ES_es_BE6278404791_YES_2024-12-05.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;N;N;BE6278409840;54443;DPAM B - Equities US Index B USD Cap;USD;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;MSCI USA NR USD;1;SHARES;0;USD;0.69;0.5;;;;0.02;0.35;25;N;11/22/07;335,552,360 €;-12.65;-9.73;8.81;8.88;19.32;-14.94;22.28;31.62;1200;Degroof Petercam Asset Management SA;https://api.fundinfo.com/document/59546274e463a9714593192522abbfa9_350065/MR_ES_es_BE6278409840_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/6ed55acaa430b98e56fd3c2410011209_200105/PRP_ES_es_BE6278409840_YES_2024-03-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;Y;N;N;LU1494416206;71611;DPAM L Equities - EMU SRI MSCI Index A;EUR;N;Renta Variable Europa;RV Zona Euro Cap. Grande;D;N;MSCI EMU SRI NR LCL;0;EUR;0;EUR;1.05;0.6;;;;0.01;;30;N;10/26/16;46,165,071 €;-3.15;4.6;4.63;8.34;17.5;-16.55;18.83;9.3;1000;Degroof Petercam Asset Services S A;https://api.fundinfo.com/document/95e2153f153fa4df89ec9260dc1a9b0f_342896/MR_ES_es_LU1494416206_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/352b9af151aeca4ad204d505bdfee5fa_194633/PRP_ES_es_LU1494416206_YES_2025-02-19.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;Y;N;N;LU1494416545;71611;DPAM L Equities - EMU SRI MSCI Index B;EUR;N;Renta Variable Europa;RV Zona Euro Cap. Grande;C;N;MSCI EMU SRI NR LCL;0;EUR;0;EUR;1.02;0.6;;;;0.01;;30;N;9/29/16;46,165,071 €;-3.14;4.61;4.66;8.37;17.54;-16.51;18.87;9.33;1000;Degroof Petercam Asset Services S A;https://api.fundinfo.com/document/3d4c81be58946fb930135c1372dfc6b3_343349/MR_ES_es_LU1494416545_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/20db21bb03144ecff9fd78c047fc747b_194736/PRP_ES_es_LU1494416545_YES_2025-02-19.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;N;Y;N;ES0175404005;286;Dunas Selección USA ESG Cubierto C FI;EUR;Y;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;S&P 500 Scored & Screened TR USD;99999999.99;EUR;99999999.99;EUR;0.24;0.15;;;;0.05;;0;N;11/21/13;326,187,522 €;-8.29;-5.61;6.79;6.25;17.54;-20.39;23.66;21.59;1400;Dunas Capital Asset Management SGIIC;https://api.fundinfo.com/document/d032b14ef5b87a9e54caee0121b6dd7c_275806/MR_ES_es_ES0175404005_YES_2024-12-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/d18cdebc15a68194173686a57a4a1b2a_232333/PRP_ES_es_ES0175404005_YES_2024-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;N;N;ES0175404013;286;Dunas Selección USA ESG Cubierto R FI;EUR;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;S&P 500 Scored & Screened TR USD;1;SHARES;1;SHARES;0.96;0.9;;;;0.05;;63;N;9/13/19;326,187,522 €;-8.35;-5.76;6.02;5.49;-;-20.96;22.78;20.71;1400;Dunas Capital Asset Management SGIIC;https://api.fundinfo.com/document/d032b14ef5b87a9e54caee0121b6dd7c_275806/MR_ES_es_ES0175404013_YES_2024-12-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/b3508844c060e3fd65c30146ed0b9c4a_229919/PRP_ES_es_ES0175404013_YES_2024-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;N;Y;LU0261952682;74263;Fidelity Funds - Euro 50 Index Fund A-Acc-EUR;EUR;N;Renta Variable Europa;RV Zona Euro Cap. Grande;C;Y;Solactive Euro 50 NR EUR;2500;EUR;0;EUR;0.3;0.2;;;;0.35;;9;N;9/25/06;639,385,598 €;0.53;12.47;12.83;15.5;20.68;-9.17;22.73;11.83;1200;Fidelity FIL Inv Mgmt Lux S A;https://api.fundinfo.com/document/eea587b6b0f91e042abf274906d734c9_446239/MR_ES_en_LU0261952682_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/24a5e0ae95b6bfb9dbf5583b4de72e4e_73915/PRP_ES_es_LU0261952682_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;20
;Y;N;Y;LU0069450319;74263;Fidelity Funds - Euro 50 Index Fund A-DIST-EUR;EUR;N;Renta Variable Europa;RV Zona Euro Cap. Grande;D;Y;Solactive Euro 50 NR EUR;2500;EUR;0;EUR;0.3;0.2;;;;0.35;;9;N;10/8/96;639,385,598 €;0.52;12.45;12.83;15.52;20.69;-9.15;22.75;11.87;1200;Fidelity FIL Inv Mgmt Lux S A;https://api.fundinfo.com/document/c1a514fc5b0e379ce1e68333a60a0c59_445651/MR_ES_en_LU0069450319_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/29f36cb47f83981aadfc30dfe1bdc60a_73880/PRP_ES_es_LU0069450319_YES_2024-02-20.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;20
;N;Y;Y;LU0370789215;74263;Fidelity Funds - Euro 50 Index Fund Y-Acc-EUR;EUR;N;Renta Variable Europa;RV Zona Euro Cap. Grande;C;Y;Solactive Euro 50 NR EUR;2500;EUR;1000;EUR;0.2;0.1;;;;0.35;;0;N;7/14/08;639,385,598 €;0.53;12.49;12.94;15.6;20.8;-9.11;22.93;11.9;1200;Fidelity FIL Inv Mgmt Lux S A;https://api.fundinfo.com/document/c1d280e42baef5275a990636db7f6174_445522/MR_ES_en_LU0370789215_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/4a100c4b862c564040be1e9c613bfdc3_73935/PRP_ES_es_LU0370789215_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;20
;Y;Y;N;IE00BYX5M476;70657;Fidelity MSCI Emerging Markets Index Fund EUR P Acc;EUR;N;Renta Variable Emergentes;RV Global Emergente;C;Y;MSCI EM NR USD;2500;EUR;150;EUR;0.2;0.2;;;;;;0;N;3/20/18;33,061,888 €;-3.57;1.49;12.57;3.46;9.94;-14.96;5.49;14.42;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/f03e48f2e53f8d3fd179cf7816fdd398_190128/MR_ES_es_IE00BYX5M476_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/7b900facd610a623662c5eab24b226c8_78032/PRP_ES_es_IE00BYX5M476_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;10
;Y;Y;N;IE00BYX5M039;70657;Fidelity MSCI Emerging Markets Index Fund USD P Acc;USD;N;Renta Variable Emergentes;RV Global Emergente;C;Y;MSCI EM NR USD;2500;USD;150;USD;0.2;0.2;;;;;;0;N;3/20/18;33,061,888 €;-3.57;1.49;12.57;3.46;9.93;-14.96;5.49;14.42;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/0ca17b05dfce4b12dfc2edbe2dc247df_190177/MR_ES_es_IE00BYX5M039_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/eaabaf622392fb202897264efb327365_78677/PRP_ES_es_IE00BYX5M039_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;70;10
;Y;Y;N;IE00BYX5MD61;70987;Fidelity MSCI Europe Index Fund EUR P Acc;EUR;N;Renta Variable Europa;RV Europa Cap. Grande Blend;C;Y;MSCI Europe NR EUR;2500;EUR;150;EUR;0.1;0.1;;;;;;0;N;3/20/18;104,487,093 €;-0.27;9.86;13.11;10.14;17.74;-9.29;16.15;8.86;1200;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/0b2f243ae40e9b0491b9da8b62db0ff1_190237/MR_ES_es_IE00BYX5MD61_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/f139ac70002a1f9960c66ed0a5d00c94_77687/PRP_ES_es_IE00BYX5MD61_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;Y;N;IE00BYX5ML46;70987;Fidelity MSCI Europe Index Fund EUR P Acc (Hedged);EUR;Y;Renta Variable Europa;RV Europa Cap. Grande Blend;C;Y;MSCI Europe NR EUR;2500;EUR;150;EUR;0.15;0.2;;;;;;0;N;3/20/18;104,487,093 €;0.22;10.45;12.35;9.75;16.68;-8.76;14.39;7.93;1200;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/1c9590fd4de962bd6a8b666273288acf_190645/MR_ES_es_IE00BYX5ML46_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/97ab4033e3458608ebdc38924211b9f2_77691/PRP_ES_es_IE00BYX5ML46_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;10
;Y;Y;N;IE00BYX5MJ24;70987;Fidelity MSCI Europe Index Fund USD P Acc;USD;N;Renta Variable Europa;RV Europa Cap. Grande Blend;C;Y;MSCI Europe NR EUR;2500;USD;150;USD;0.1;0.1;;;;;;0;N;3/20/18;104,487,093 €;-0.27;9.86;13.11;10.14;17.74;-9.29;16.15;8.86;1200;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/b95d8f01ac4de0f830d6d28fb85a9b02_190129/MR_ES_es_IE00BYX5MJ24_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/7e488ddb8045f94364df87f5b1dbee11_78313/PRP_ES_es_IE00BYX5MJ24_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;10
;Y;Y;Y;IE00BYX5N771;70871;Fidelity MSCI Japan Index Fund EUR P Acc;EUR;N;Renta Variable Japón;RV Japón Cap. Grande;C;Y;MSCI Japan NR USD;2500;EUR;150;EUR;0.1;0.1;;;;;;0;N;3/20/18;190,314,181 €;-3.11;-0.98;2.58;7.58;11.88;-11.29;16.19;15.48;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/9ce053428c18726da6fc4b90582520fb_184082/MR_ES_es_IE00BYX5N771_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/65f3ccc73768a4df740019e9d9f14263_77732/PRP_ES_es_IE00BYX5N771_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;20
;Y;Y;Y;IE00BYX5NH74;70871;Fidelity MSCI Japan Index Fund EUR P Acc (Hedged);EUR;Y;Renta Variable Japón;RV Japón Cap. Grande;C;Y;MSCI Japan NR USD;2500;EUR;150;EUR;0.15;0.15;;;;;;0;N;3/20/18;190,314,181 €;-0.22;-0.16;4.1;17.02;19.63;-6.04;32.18;21.97;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/024338a733e1207fea11c91c3c71fa01_184592/MR_ES_es_IE00BYX5NH74_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/d0a80dbbd8a8f21ebbc9209527d37b07_77767/PRP_ES_es_IE00BYX5NH74_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;60;20
;Y;Y;Y;IE00BYX5N334;70871;Fidelity MSCI Japan Index Fund USD P Acc;USD;N;Renta Variable Japón;RV Japón Cap. Grande;C;Y;MSCI Japan NR USD;2500;USD;150;USD;0.1;0.1;;;;;;0;N;3/20/18;190,314,181 €;-3.11;-0.98;2.58;7.58;11.89;-11.29;16.19;15.48;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/c978f4400ae58664ed49f956afd199b3_183988/MR_ES_es_IE00BYX5N334_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/660083b48b6988b59953e6cd9bae6b32_78374/PRP_ES_es_IE00BYX5N334_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;70;20
;Y;Y;N;IE00BDZVHT63;71019;Fidelity MSCI Pacific ex Japan Index Fund USD P Acc;USD;N;Renta Variable Pacífico;RV Pacífico (ex-Japón);C;Y;MSCI Pacific Ex Japan NR USD;2500;USD;150;USD;0.13;0.13;;;;;;0;N;3/20/18;12,831,941 €;-7.84;-3.4;8.75;2.25;11.37;0.23;2.69;11.49;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/0e53e57feb060305f0683fc495f9b809_186667/MR_ES_es_IE00BDZVHT63_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/aa504b87468a83a15e568350208d8fca_78954/PRP_ES_es_IE00BDZVHT63_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;70;10
;Y;Y;Y;IE00BYX5NX33;70579;Fidelity MSCI World Index Fund EUR P Acc;EUR;N;Renta Variable Global;RV Global Cap. Grande Blend;C;Y;MSCI World NR USD;2500;EUR;150;EUR;0.12;0.12;;;;;;0;N;3/20/18;1,587,438,539 €;-9.94;-5.94;9.6;8.9;18.44;-12.63;19.55;26.48;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/f51fa7c686097139c7e5d2bc9c8abe01_189562/MR_ES_es_IE00BYX5NX33_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/e02705ebcb611600b80ff8e39763e352_77295/PRP_ES_es_IE00BYX5NX33_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;20
;Y;Y;Y;IE00BYX5P602;70579;Fidelity MSCI World Index Fund EUR P Acc (Hedged);EUR;Y;Renta Variable Global;RV Global Cap. Grande Blend;C;Y;MSCI World NR USD;2500;EUR;150;EUR;0.17;0.22;;;;;;0;N;3/20/18;1,587,438,539 €;-6.63;-2.02;8.73;7.32;17.09;-18.12;21.1;19.46;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/c65a52b77f78db14b4b410793fff8900_190092/MR_ES_es_IE00BYX5P602_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/22c42306664c2072af5e86ab72ea483d_77230/PRP_ES_es_IE00BYX5P602_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;20
;Y;Y;Y;IE00BYX5NK04;70579;Fidelity MSCI World Index Fund USD P Acc;USD;N;Renta Variable Global;RV Global Cap. Grande Blend;C;Y;MSCI World NR USD;2500;USD;150;USD;0.12;0.12;;;;;;0;N;3/20/18;1,587,438,539 €;-9.94;-5.94;9.6;8.9;18.44;-12.63;19.55;26.48;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/77044031892ac87d1a452c118acb74c0_189447/MR_ES_es_IE00BYX5NK04_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/8cc8ed29575acd7a1ce4c59baa40bd79_77974/PRP_ES_es_IE00BYX5NK04_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;65;20
;Y;Y;Y;IE00BYX5MX67;70848;Fidelity SYP 500 Index Fund EUR P Acc;EUR;N;Renta Variable EE.UU;RV USA Cap. Grande Blend;C;Y;S&P 500 NR USD;2500;EUR;150;EUR;0.06;0.06;;;;;;0;N;3/20/18;1,205,604,707 €;-12.2;-9.38;9.59;9.51;19.61;-13.11;21.4;32.77;1600;FIL Investment Management Luxembourg S A Irela;https://api.fundinfo.com/document/1066b5e397e83a10e5b9437baf5c346a_184921/MR_ES_es_IE00BYX5MX67_YES_2025-01-31.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;https://api.fundinfo.com/document/fe28de3c79ea5d903597b040803370c7_78643/PRP_ES_es_IE00BYX5MX67_YES_2025-02-18.pdf?apiKey=d99379b6-2808-4dc4-a0d3-fcd355ef5548;55;20
